treebank	verb-aux	noun-adj	verb-obj	noun-adp
Afrikaans	0.43998291328492095	0.9866071428571429	0.7683103698332124	0.0
AncientGreek	0.36764705882352944	0.45944609297725025	0.45179926361398726	0.02840626553953257
Arabic	0.008185538881309686	0.011046731326363522	0.012223672090881179	0.0017446792103639728
Basque	0.9130620527608673	0.1637781629116118	0.8071255362805446	1.0
Belarusian	0.075	1.0	0.1973929236499069	0.001557632398753894
Bulgarian	0.01691188905800778	0.9689888811674774	0.16068428287765388	0.0
Buryat	1.0	0.9849906191369606	0.958204334365325	1.0
Cantonese	0.5384615384615384	1.0	0.0	0.3333333333333333
Catalan	0.006473614241951332	0.21165526908210508	0.28859108499355024	0.005243713502562269
Chinese	0.11498028909329829	0.9979899497487437	0.06422628951747088	0.12085769980506822
Croatian	0.32231144701621794	0.9903703263389407	0.18966199635874298	0.000211133788443944
Czech	0.16197318931430224	0.9307923771313942	0.27507695495175516	0.00011402645413735986
Danish	0.010010355540214014	0.9710640236956026	0.11241935483870968	0.006297735495109205
Dutch	0.0911557912914765	0.9932069775243207	0.4870060519757921	0.0036374217954313983
English	0.002809393459155741	0.9793745095841273	0.033217148832345764	0.001203743253213218
Estonian	0.03429878048780488	0.994564035659926	0.2941262206675412	0.7492904446546831
Finnish	0.0023102896747822996	0.9959091195166467	0.23189864630336687	0.8501400560224089
French	0.00034578146611341634	0.29354978444274843	0.16321813369123514	8.066973809225033e-05
Galician	0.0	0.2099647518338573	0.16130870025229918	0.006956956956956957
German	0.343599615014437	0.9975058888734931	0.45649744572158363	0.007046764894298526
Gothic	0.9801980198019802	0.5058479532163743	0.3623223031895831	0.0
Greek	0.36764705882352944	0.7098859315589353	0.42922210462654975	0.02298337056341524
Hebrew	0.0	0.0	0.032411924119241195	0.0008084074373484236
Hindi	1.0	0.9992402947656309	0.7957141551676871	0.9990350388128834
Hungarian	0.6551724137931034	0.9995221027479092	0.40762463343108507	1.0
Italian	0.00018568378052177142	0.32040456527790667	0.13061735012954526	0.0
Japanese	1.0	1.0	1.0	1.0
Kazakh	1.0	1.0	1.0	0.9913793103448276
Kurmanji	1.0	0.03484320557491289	0.7029914529914529	0.31408573928258965
Latin	0.8160351455244371	0.4770274636510501	0.459061777913415	0.0004897159647404506
Lithuanian	0.0	0.9921259842519685	0.2743764172335601	0.0
Marathi	0.940677966101695	1.0	0.9215686274509803	1.0
Naija	0.0	1.0	0.005676442762535478	0.0
Norwegian	0.0	0.9449522785320608	0.05383310195896961	0.002544731610337972
OldChurchSlavonic	0.9737274220032841	0.21340523882896764	0.2670302641428724	0.008002910149145144
OldFrench	0.09352517985611511	0.7367724867724867	0.5458263170555689	0.0003757985719654265
Persian	0.001876172607879925	0.0648787002003116	0.5733485845010009	0.00020061522000802462
Polish	0.7955911823647295	0.6523668639053254	0.14773898954190604	0.002839564600094652
Portuguese	0.0007099751508697196	0.29539861633467984	0.10750888220825362	0.0005663416101799905
Romanian	0.007995262066923305	0.1149777957206298	0.18446398659966498	0.0009567297238530115
Russian	0.031078173559646188	0.9844220309447114	0.17297838604689977	0.0016436408866776244
Serbian	0.3622914699401952	0.9983129481231547	0.0865424430641822	0.0
Slovak	0.43711967545638947	0.9646327244461718	0.329675105943714	0.00015008254539996998
Slovenian	0.06506986027944112	0.9803035195350339	0.33395824456753304	0.0003397027600849257
Spanish	0.007542116021710016	0.26271578947368424	0.27216515843687256	0.0037331720491777637
Swedish	0.0004224757076468103	0.992573576602182	0.040582568459379506	0.005261839138060637
Tamil	0.9962476547842402	0.9981981981981982	0.9985974754558204	1.0
Turkish	1.0	0.9935965848452508	0.9622132253711201	0.9912225705329154
Ukrainian	0.2983425414364641	0.9588603708706864	0.1984454314720812	0.0005390835579514825
UpperSorbian	0.0	0.9944852941176471	0.3169164882226981	0.0
Urdu	1.0	0.9945264554652513	0.7926781773335064	0.9879777498654225
Uyghur	0.9954337899543378	1.0	0.9989701338825953	1.0
